Class,Mean Intensity,Std Intensity,Mean R,Mean G,Mean B,Std R,Std G,Std B,Var R,Var G,Var B
q,81.0072,28.7261962,96.2232,76.1564,66.0428,47.29918162,25.10199871,20.81551748,2237.212582,630.110339,433.2857682
q,59.654,9.494202652,58.1016,61.8536,52.5716,11.63388488,9.861124025,7.610996876,135.3472774,97.24176704,57.92727344
q,70.9684,12.28756288,80.3732,67.6648,63.2828,18.85617994,11.27100887,11.34606646,355.5555218,127.035641,128.7332242
q,34.086,34.00102651,54.1396,26.5964,20.2596,49.91753311,30.97093972,12.97922216,2491.760112,959.199107,168.4602078
q,52.612,33.77256662,83.0884,43.8708,17.4624,49.79244707,31.45257553,13.22033987,2479.287785,989.2645074,174.7773862
q,109.1052,55.30304633,167.4272,94.6076,30.8128,78.37263234,51.5874483,25.51293312,6142.2695,2661.264822,650.9097562
q,62.8028,54.60941963,92.286,54.74,27.2328,72.85175773,52.82180989,27.24009185,5307.378604,2790.1436,742.0226042
q,146.9324,42.75237339,205.8416,127.0172,94.9464,57.93088735,42.8874446,27.8517419,3355.987709,1839.332904,775.719527
q,145.9716,49.59982655,173.5764,135.7564,126.0732,60.91877349,45.77584799,48.5415517,3711.096963,2095.428259,2356.282242
q,172.882,13.25799668,244.5244,147.9184,113.5996,13.91772268,16.69418286,13.29309896,193.7030046,278.6957414,176.7064798
q,124.2524,34.49944774,169.3876,107.5312,91.8924,54.50247486,28.9530003,28.35435808,2970.519766,838.2762266,803.9696222
q,130.7424,35.51947131,176.674,114.794,92.3768,68.89818956,27.17674675,16.87728716,4746.960524,738.575564,284.8428218
q,104.486,31.78136882,124.2424,99.8884,76.358,55.44410196,24.78170183,24.82541109,3074.048442,614.1327454,616.301036
q,94.3728,53.27702901,164.0432,73.4948,19.2004,67.52179303,57.152634,20.81770976,4559.192534,3266.423573,433.3770398
q,48.4372,62.25925518,80.0172,39.3808,12.2216,86.95638507,61.72334883,26.90658829,7561.412904,3809.771791,723.9644934
q,125.2572,49.52734041,205.5976,104.9772,19.0044,53.52270242,60.66441362,18.50620384,2864.679674,3680.17108,342.4795806
q,93.7188,52.49138336,169.7424,69.2688,20.2572,72.84582103,54.95124882,20.89474212,5306.513642,3019.639747,436.5902482
q,54.1744,38.83083291,108.7456,34.1476,14.2168,62.08656602,33.86617508,16.96828211,3854.741681,1146.917814,287.9225978
q,53.814,50.08719002,99.1424,38.504,13.7432,68.98517321,50.17174886,21.68849589,4758.954122,2517.204384,470.3908538
q,35.7988,30.17304623,69.6808,23.944,7.928,54.2410519,23.45794671,8.092936179,2942.091711,550.275264,65.495616
q,87.068,64.25189317,141.4264,73.016,16.8996,86.06079585,66.86662354,20.26099504,7406.460583,4471.145344,410.5079198
q,75.7064,44.33241928,139.652,54.746,15.9044,63.34760371,42.73681181,18.01002112,4012.918896,1826.435084,324.3608606
q,55.3764,71.58396135,83.4084,49.908,9.8076,94.44825043,74.17497918,14.94101008,8920.472009,5501.927536,223.2337822
q,178.5912,54.19541754,219.78,169.3552,118.0288,30.75520769,64.53355897,71.88560893,945.8828,4164.580233,5167.540771
q,191.0292,42.73213717,226.5704,184.8536,129.4192,23.65352075,49.35241602,67.47930254,559.4890438,2435.660967,4553.456271
q,139.6976,60.50181943,194.1764,124.8276,73.46,45.53958809,69.80097047,64.09911388,2073.854083,4872.175478,4108.6964
q,172.1068,56.23757635,220.2736,160.6004,105.0932,32.76132389,67.44237777,70.10992308,1073.304343,4548.47432,4915.401314
q,114.0516,54.20444389,175.24,97.2896,39.9396,70.37696214,51.64831974,31.45325344,4952.9168,2667.548932,989.3071518
q,80.6132,36.6870602,134.2544,64.694,21.92,48.20831547,34.50846221,25.74745036,2324.041681,1190.833964,662.9312
q,101.5816,41.8178926,164.5352,83.648,28.7704,47.3073098,42.48754283,35.38106957,2237.981561,1805.191296,1251.820084
q,49.1536,43.02129248,84.4972,37.49,16.6324,49.22901169,43.16605495,31.19766129,2423.495592,1863.3083,973.2940702
q,136.7272,26.27780775,216.132,115.036,40.3212,28.83247086,26.38204511,22.93520505,831.311376,696.012304,526.0236306
q,122.0112,28.04573184,197.9268,100.5272,33.6924,29.55419161,28.96397176,25.69325558,873.4502418,838.9116602,660.1433822
q,117.2988,62.36746522,174.8204,101.014,50.2612,63.03235474,65.65606296,62.96401651,3973.077744,4310.718604,3964.467375
q,118.3316,42.60083616,186.1916,99.8428,35.624,52.49019422,41.95984376,34.15236777,2755.220489,1760.628488,1166.384224
q,101.0064,79.14950385,141.3568,89.7732,52.9832,84.9822234,81.14187182,68.91092597,7221.978294,6584.003362,4748.715718
q,59.4284,20.22319642,104.652,45.7452,11.0936,29.16963654,17.95666664,12.1134652,850.867696,322.441877,146.736039
q,64.8232,29.8012339,111.3536,50.8212,14.7832,36.91878339,28.84742676,22.03361518,1362.996567,832.1740306,485.4801978
q,49.2988,31.62506472,76.7772,40.2976,23.6236,39.96995322,31.09527672,22.44642339,1597.59716,966.9162342,503.841923
q,116.9832,26.86962072,172.0808,100.5508,57.0084,36.43744052,29.79572149,8.826433563,1327.687071,887.7850194,77.90592944
q,217.966,32.38294681,248.32,225.2092,101.0344,10.92567618,43.34842829,75.44030499,119.3704,1879.086235,5691.239617
q,153.652,84.24912876,187.4068,152.2724,72.1508,79.58126233,94.99936315,63.94466404,6333.177314,9024.878998,4088.920059
q,124.2292,48.39620509,186.088,109.85,35.948,55.23816304,58.38480196,16.29288483,3051.254656,3408.7851,265.458096
q,186.5884,45.78837173,233.8152,191.0916,39.5072,30.97252087,64.58870497,21.35438944,959.297049,4171.700809,456.0099482
q,202.6824,43.60009094,243.1004,204.316,88.2316,17.97842929,58.23562607,71.18246105,323.2239198,3391.388144,5066.942761
q,113.6656,79.05169054,154.5732,107.3968,38.772,89.21959786,85.89720455,33.05237081,7960.136642,7378.32975,1092.459216
q,62.1832,41.90390958,99.7396,50.0376,26.1652,50.43765847,42.38285722,28.56230223,2543.957392,1796.306586,815.805109
q,78.8312,78.96529052,114.7036,73.1108,14.1124,100.1183088,83.79585266,15.57050308,10023.67575,7021.744923,242.4405662
q,76.806,72.21962866,111.0692,70.3836,19.4768,87.66972346,77.55492796,17.63861281,7685.980411,6014.766851,311.1206618
q,79.86,54.71001736,128.5864,65.28,27.0844,66.46552892,56.43712962,29.99414071,4417.666535,3185.1496,899.6484766
q,69.92,54.80578802,116.1464,55.9848,20.402,70.66664961,55.5916088,27.62079644,4993.775367,3090.426969,762.908396
q,77.6072,43.0555282,116.118,65.586,38.684,45.90708089,46.15827774,31.5331087,2107.460076,2130.586604,994.336944
q,119.674,69.26082099,174.0364,107.094,41.8532,66.66129818,79.52391064,44.98107657,4443.728675,6324.052364,2023.29725
q,179.1316,64.93930614,221.7312,178.8956,68.608,49.32217094,80.33879698,63.94516351,2432.676547,6454.322301,4088.983936
q,138.1136,67.94391139,195.062,129.046,35.4424,60.91580219,82.46537142,39.24471279,3710.734956,6800.537484,1540.147482
q,162.8516,20.62563399,233.0656,146.594,62.4468,18.41822186,25.67642428,18.95276153,339.2308966,659.278764,359.2071698
q,142.1676,24.93770459,225.4228,119.4904,40.7972,23.96974844,29.20903127,13.02118551,574.5488402,853.1675078,169.5512722
q,107.6288,35.04688018,171.3264,88.5788,38.7336,51.74815806,32.59656102,14.67117688,2677.871863,1062.535791,215.243431
q,145.7632,23.61082645,205.8492,128.9492,74.7708,35.6269906,26.3832261,29.53214972,1269.282459,696.0746194,872.1478674
q,138.172,25.09742648,203.9616,120.0436,58.9536,31.32442059,28.21876147,14.13942881,981.2193254,796.298499,199.923447
q,100.7108,34.70954859,154.6044,84.3688,43.468,52.2781704,31.31393279,14.67332873,2733.007101,980.5623866,215.306576
q,129.6572,26.6166055,189.566,111.7416,64.8964,50.12851528,23.23773718,16.89293542,2512.868044,539.9924294,285.371267
q,86.8148,31.5924374,131.6824,72.6476,42.0616,48.58561855,27.42165958,15.22682519,2360.56233,751.9474142,231.8562054
q,77.4324,33.79560667,120.4752,62.7136,40.3208,59.79927579,26.43623981,11.63458153,3575.953385,698.874775,135.3634874
q,126.7108,29.88552766,179.0948,111.4636,67.8584,51.36563261,26.92567316,17.64464648,2638.428213,724.991875,311.3335494
q,110.1448,23.70143947,186.2328,84.886,40.8036,31.75365497,23.62792001,10.8471299,1008.294604,558.278604,117.660227
q,117.2268,28.60460386,167.782,102.2052,61.8308,35.45199678,28.91176738,26.54128428,1256.844076,835.890293,704.4397714
q,70.5896,19.4681168,98.142,59.5724,55.0152,35.06007752,17.60954168,21.61367551,1229.209036,310.0959582,467.150969
q,77.0944,29.32220811,125.9396,59.0344,41.9372,49.438883,26.14480477,21.67329362,2444.203152,683.5508166,469.7316562
q,70.1916,46.19459373,91.4092,63.6076,48.4076,57.2675419,45.61820714,44.11617234,3279.571355,2081.020822,1946.236662
q,53.0092,32.45547589,67.5996,48.5028,37.9032,45.11509814,30.59581004,26.98013028,2035.37208,936.1035922,727.9274298
q,51.7512,31.42306953,67.9208,45.906,39.3592,41.10890083,31.26547559,31.72921328,1689.941727,977.529964,1006.742975
q,101.1168,25.18836155,143.5456,89.6088,49.0568,39.74287258,26.85340505,26.48986172,1579.495921,721.1053626,701.7127738
q,147.8844,26.6721847,192.406,135.4852,94.8476,33.21570056,25.36211704,30.21465165,1103.282764,643.236981,912.9251742
q,67.1056,40.61124042,82.7656,62.69,48.7264,57.63567868,39.21911141,23.74129615,3321.871457,1538.1387,563.649143
q,100.2456,46.28723021,133.492,92.5452,52.5164,55.83295385,46.90568363,32.33231404,3117.318736,2200.143157,1045.378531
q,98.0084,56.68377836,124.2628,92.1772,59.1592,75.90153711,56.28374721,30.95825989,5761.043336,3167.8602,958.4138554
q,104.7364,45.36512003,139.046,96.8268,55.382,52.53614264,46.38510108,35.35113118,2760.046284,2151.577602,1249.702476
q,123.0908,56.86117969,170.3156,111.9264,56.6632,68.12434511,59.4250535,38.10045887,4640.926397,3531.336983,1451.644966
q,90.038,38.18642371,122.4852,81.4964,48.8432,45.45699705,37.93246086,31.94593266,2066.338581,1438.871587,1020.542614
q,84.3384,50.51993552,111.3232,77.5868,48.3088,70.53034199,49.82905243,29.1309705,4974.529142,2482.934466,848.6134426
q,107.3288,52.47170562,151.0836,98.2436,39.2132,66.32526375,54.32929467,31.48464619,4399.040611,2951.672259,991.2829458
q,68.1864,40.54645305,87.106,63.092,44.9076,60.52553481,38.87522008,22.86240281,3663.340364,1511.282736,522.6894622
q,125.7408,55.22160461,164.0584,119.0084,59.778,61.4307528,58.84686848,38.13267255,3773.737389,3462.953929,1454.100716
q,139.7404,26.71654558,192.616,126.97,66.812,36.91372298,24.85890384,16.25338906,1362.622944,617.9651,264.172656
q,130.9076,16.48766394,191.8328,115.0932,52.69,31.04612124,11.79758084,7.480822147,963.8616442,139.1829138,55.9627
q,128.9944,16.12339817,192.0672,111.7896,52.0984,27.95152025,12.62307933,8.364730566,781.2874842,159.3421318,69.96871744
q,134.0292,25.47502988,195.0648,117.8708,57.0632,40.06757044,21.49581604,12.63218135,1605.410201,462.0701074,159.5720058
q,142.764,19.24148393,206.0576,126.4504,60.788,32.18045187,15.39439963,9.930994714,1035.581482,236.9875398,98.624656
q,148.7272,17.49916513,214.7904,131.402,64.5624,28.59323115,14.57903961,9.088614099,817.5728678,212.548396,82.60290624
q,160.0084,22.8393417,225.664,142.998,75.3356,30.92249511,21.9073594,13.87281416,956.200704,479.932396,192.4549726
q,56.4248,55.88589397,108.6092,38.9516,9.424,71.41395155,58.86836551,14.66304961,5099.952475,3465.484457,215.005024
q,103.3996,67.58745978,172.6524,84.7588,17.7792,62.20837543,83.20471034,19.86480424,3869.881974,6923.023823,394.6104474
q,109.872,53.2265687,194.8592,83.7048,21.8416,41.41645295,69.31740371,29.41539239,1715.322575,4804.902457,865.2653094
q,93.5068,51.31786778,179.2956,64.1624,19.7588,48.04742054,62.32496792,33.71392327,2308.554621,3884.401626,1136.628623
q,95.7244,63.68786105,162.2964,73.9688,33.1216,63.42524219,72.5385072,43.66825407,4022.761347,5261.835027,1906.916413
q,66.4148,42.34237996,136.418,40.4608,16.4896,47.15016942,46.29248388,25.89445292,2223.138476,2142.994063,670.5226918
q,135.7448,65.72761728,199.4648,121.7204,40.8092,55.81368973,79.90427663,45.69729965,3115.167961,6384.693424,2088.243195
q,92.3324,52.41835852,168.4008,67.2364,22.1352,59.99350098,59.26976729,24.64268088,3599.220159,3512.905315,607.261721
q,144.0144,58.25996046,208.8492,131.0652,40.7036,46.59662712,72.78120739,38.14981713,2171.245659,5297.104149,1455.408547
q,111.9948,61.21786319,176.0832,94.3932,34.552,66.39173652,68.01324719,33.2568684,4407.862678,4625.801794,1106.019296
q,59.394,35.02314041,129.2316,32.8528,12.8576,48.25850766,34.45523374,19.86654782,2328.883561,1187.163132,394.6797222
q,99.518,53.17418994,172.926,75.2256,32.0744,59.32866865,59.96418518,35.75253928,3519.890924,3595.703505,1278.244065
q,80.5948,74.00601741,124.568,67.8092,31.0828,78.56591485,80.15533916,42.42592538,6172.602976,6424.878395,1799.959144
q,60.7696,30.66831126,82.9264,54.5976,34.3292,49.88833314,26.19768834,21.23534853,2488.845783,686.3188742,450.9400274
q,93.5884,45.53112985,115.1484,87.8824,66.4088,59.48550729,44.2398437,34.82517599,3538.525577,1957.16377,1212.792883
q,125.932,24.09657602,180.2696,110.5228,62.8324,42.90802391,22.04006988,23.3172106,1841.098516,485.7646802,543.6923102
q,176.718,41.73952654,221.0532,173.8108,75.2752,27.58145699,50.76736553,57.4988162,760.7367698,2577.325403,3306.113865
q,155.8576,49.95861209,202.362,150.316,62.2944,38.81391189,58.63121476,54.46788897,1506.519756,3437.619344,2966.750929
q,183.3128,40.15593301,224.2524,181.1036,87.254,22.42482317,49.33342951,62.79627285,502.8726942,2433.787267,3943.371884
